Archivo,Tiempo_Codificacion,Tiempo_Decodificacion,Peso_Original,Peso_Codificado
dna1MB.txt,0.144927,0.217218,1048.58,292.795
dna1MB.txt,0.145165,0.216918,1048.58,292.795
dna1MB.txt,0.145814,0.217028,1048.58,292.795
dna1MB.txt,0.145048,0.216973,1048.58,292.795
dna1MB.txt,0.144578,0.219741,1048.58,292.795
dna1MB.txt,0.145279,0.216714,1048.58,292.795
dna1MB.txt,0.144604,0.217363,1048.58,292.795
dna1MB.txt,0.145022,0.217167,1048.58,292.795
dna1MB.txt,0.145014,0.216688,1048.58,292.795
dna1MB.txt,0.145242,0.216698,1048.58,292.795
dna1MB.txt,0.14524,0.217031,1048.58,292.795
dna1MB.txt,0.144798,0.217311,1048.58,292.795
dna1MB.txt,0.145498,0.217236,1048.58,292.795
dna1MB.txt,0.144426,0.21903,1048.58,292.795
dna1MB.txt,0.145229,0.217169,1048.58,292.795
dna1MB.txt,0.145291,0.218256,1048.58,292.795
dna1MB.txt,0.145357,0.219493,1048.58,292.795
dna1MB.txt,0.14492,0.217103,1048.58,292.795
dna1MB.txt,0.145401,0.217118,1048.58,292.795
dna1MB.txt,0.145228,0.217078,1048.58,292.795
dna5MB.txt,0.731483,1.07873,5242.88,1459.28
dna5MB.txt,0.731593,1.0884,5242.88,1459.28
dna5MB.txt,0.729616,1.07904,5242.88,1459.28
dna5MB.txt,0.731753,1.08038,5242.88,1459.28
dna5MB.txt,0.732106,1.07929,5242.88,1459.28
dna5MB.txt,0.740807,1.09091,5242.88,1459.28
dna5MB.txt,0.730128,1.07937,5242.88,1459.28
dna5MB.txt,0.735432,1.0868,5242.88,1459.28
dna5MB.txt,0.736319,1.09854,5242.88,1459.28
dna5MB.txt,0.73136,1.07923,5242.88,1459.28
dna5MB.txt,0.734434,1.08468,5242.88,1459.28
dna5MB.txt,0.733206,1.07951,5242.88,1459.28
dna5MB.txt,0.765194,1.13108,5242.88,1459.28
dna5MB.txt,0.771543,1.1382,5242.88,1459.28
dna5MB.txt,0.758789,1.11446,5242.88,1459.28
dna5MB.txt,0.768411,1.13128,5242.88,1459.28
dna5MB.txt,0.733356,1.08222,5242.88,1459.28
dna5MB.txt,0.736861,1.08485,5242.88,1459.28
dna5MB.txt,0.727894,1.07902,5242.88,1459.28
dna5MB.txt,0.732017,1.07884,5242.88,1459.28
dna10MB.txt,1.46755,2.16008,10485.8,2903.07
dna10MB.txt,1.4648,2.15583,10485.8,2903.07
dna10MB.txt,1.46839,2.16193,10485.8,2903.07
dna10MB.txt,1.46399,2.19338,10485.8,2903.07
dna10MB.txt,1.45819,2.14789,10485.8,2903.07
dna10MB.txt,1.49471,2.17113,10485.8,2903.07
dna10MB.txt,1.45897,2.1457,10485.8,2903.07
dna10MB.txt,1.46358,2.15115,10485.8,2903.07
dna10MB.txt,1.45715,2.1521,10485.8,2903.07
dna10MB.txt,1.45756,2.1466,10485.8,2903.07
dna10MB.txt,1.4547,2.14673,10485.8,2903.07
dna10MB.txt,1.45701,2.156,10485.8,2903.07
dna10MB.txt,1.46898,2.14876,10485.8,2903.07
dna10MB.txt,1.45968,2.16707,10485.8,2903.07
dna10MB.txt,1.45855,2.14324,10485.8,2903.07
dna10MB.txt,1.45735,2.17985,10485.8,2903.07
dna10MB.txt,1.45932,2.14582,10485.8,2903.07
dna10MB.txt,1.45816,2.14687,10485.8,2903.07
dna10MB.txt,1.46834,2.15681,10485.8,2903.07
dna10MB.txt,1.45378,2.18112,10485.8,2903.07
dna20MB.txt,2.68667,4.12819,20971.5,5806.54
dna20MB.txt,2.7043,4.19422,20971.5,5806.54
dna20MB.txt,2.69278,4.14034,20971.5,5806.54
dna20MB.txt,2.6878,4.15151,20971.5,5806.54
dna20MB.txt,2.68138,4.18814,20971.5,5806.54
dna20MB.txt,2.70397,4.27021,20971.5,5806.54
dna20MB.txt,2.69587,4.22367,20971.5,5806.54
dna20MB.txt,2.68723,4.13085,20971.5,5806.54
dna20MB.txt,2.68968,4.18821,20971.5,5806.54
dna20MB.txt,2.68597,4.13123,20971.5,5806.54
dna20MB.txt,2.69992,4.20184,20971.5,5806.54
dna20MB.txt,2.68681,4.12785,20971.5,5806.54
dna20MB.txt,2.70299,4.19383,20971.5,5806.54
dna20MB.txt,2.68403,4.12569,20971.5,5806.54
dna20MB.txt,2.72304,4.22127,20971.5,5806.54
