Archivo,Tiempo_Codificacion,Tiempo_Decodificacion,Peso_Original,Peso_Codificado
english1MB.txt,0.123209,0.377671,1048.58,605.043
english1MB.txt,0.122975,0.375236,1048.58,605.043
english1MB.txt,0.123259,0.374839,1048.58,605.043
english1MB.txt,0.123031,0.374548,1048.58,605.043
english1MB.txt,0.123001,0.375301,1048.58,605.043
english1MB.txt,0.122793,0.375246,1048.58,605.043
english1MB.txt,0.122734,0.376395,1048.58,605.043
english1MB.txt,0.123407,0.375228,1048.58,605.043
english1MB.txt,0.122734,0.374938,1048.58,605.043
english1MB.txt,0.123259,0.375019,1048.58,605.043
english1MB.txt,0.122866,0.376731,1048.58,605.043
english1MB.txt,0.123005,0.375262,1048.58,605.043
english1MB.txt,0.123101,0.375886,1048.58,605.043
english1MB.txt,0.123372,0.37537,1048.58,605.043
english1MB.txt,0.122402,0.375549,1048.58,605.043
english1MB.txt,0.123422,0.375398,1048.58,605.043
english1MB.txt,0.122553,0.375612,1048.58,605.043
english1MB.txt,0.123322,0.375767,1048.58,605.043
english1MB.txt,0.122863,0.375779,1048.58,605.043
english1MB.txt,0.122853,0.377165,1048.58,605.043
english5MB.txt,0.631856,1.87558,5242.88,3010.79
english5MB.txt,0.630622,1.87485,5242.88,3010.79
english5MB.txt,0.630534,1.87378,5242.88,3010.79
english5MB.txt,0.63127,1.87292,5242.88,3010.79
english5MB.txt,0.634604,1.87674,5242.88,3010.79
english5MB.txt,0.632069,1.87546,5242.88,3010.79
english5MB.txt,0.63315,1.88706,5242.88,3010.79
english5MB.txt,0.644019,1.9248,5242.88,3010.79
english5MB.txt,0.638687,1.90309,5242.88,3010.79
english5MB.txt,0.638981,1.9089,5242.88,3010.79
english5MB.txt,0.632314,1.87636,5242.88,3010.79
english5MB.txt,0.64022,1.90498,5242.88,3010.79
english5MB.txt,0.631947,1.88675,5242.88,3010.79
english5MB.txt,0.645044,1.93261,5242.88,3010.79
english5MB.txt,0.646483,1.91747,5242.88,3010.79
english5MB.txt,0.66007,1.95631,5242.88,3010.79
english5MB.txt,0.640202,1.9076,5242.88,3010.79
english5MB.txt,0.63964,1.89853,5242.88,3010.79
english5MB.txt,0.638348,1.89919,5242.88,3010.79
english5MB.txt,0.638022,1.89141,5242.88,3010.79
english10MB.txt,1.22404,3.48575,10485.8,6014.85
english10MB.txt,1.22633,3.48196,10485.8,6014.85
english10MB.txt,1.22216,3.4925,10485.8,6014.85
english10MB.txt,1.21525,3.4771,10485.8,6014.85
english10MB.txt,1.21768,3.47917,10485.8,6014.85
english10MB.txt,1.22006,3.48149,10485.8,6014.85
english10MB.txt,1.22678,3.50456,10485.8,6014.85
english10MB.txt,1.21984,3.47475,10485.8,6014.85
english10MB.txt,1.21775,3.47523,10485.8,6014.85
english10MB.txt,1.21704,3.48459,10485.8,6014.85
english10MB.txt,1.21898,3.50191,10485.8,6014.85
english10MB.txt,1.21742,3.48199,10485.8,6014.85
english10MB.txt,1.22036,3.46907,10485.8,6014.85
english10MB.txt,1.22033,3.49897,10485.8,6014.85
english10MB.txt,1.21825,3.47495,10485.8,6014.85
english10MB.txt,1.21665,3.47537,10485.8,6014.85
english10MB.txt,1.21881,3.4767,10485.8,6014.85
english10MB.txt,1.21652,3.47835,10485.8,6014.85
english10MB.txt,1.2179,3.47422,10485.8,6014.85
english10MB.txt,1.22115,3.48565,10485.8,6014.85
english20MB.txt,2.3421,7.16832,20971.5,11984.8
english20MB.txt,2.36918,7.23592,20971.5,11984.8
english20MB.txt,2.34615,7.14119,20971.5,11984.8
english20MB.txt,2.39061,7.14693,20971.5,11984.8
english20MB.txt,2.34941,7.15029,20971.5,11984.8
english20MB.txt,2.34721,7.1451,20971.5,11984.8
english20MB.txt,2.35132,7.17213,20971.5,11984.8
english20MB.txt,2.33843,7.13907,20971.5,11984.8
english20MB.txt,2.34209,7.14903,20971.5,11984.8
english20MB.txt,2.3488,7.16934,20971.5,11984.8
english20MB.txt,2.35119,7.18271,20971.5,11984.8
english20MB.txt,2.35047,7.16514,20971.5,11984.8
english20MB.txt,2.35705,7.14449,20971.5,11984.8
english20MB.txt,2.3487,7.19143,20971.5,11984.8
english20MB.txt,2.34609,7.1375,20971.5,11984.8
english20MB.txt,2.37199,7.15597,20971.5,11984.8
english20MB.txt,2.34427,7.14998,20971.5,11984.8
english20MB.txt,2.34018,7.14379,20971.5,11984.8
english20MB.txt,2.34952,7.17161,20971.5,11984.8
english20MB.txt,2.36632,7.14653,20971.5,11984.8
english50MB.txt,5.66897,17.9692,52428.8,29916.8
english50MB.txt,5.66801,18.0956,52428.8,29916.8
english50MB.txt,5.67305,17.9809,52428.8,29916.8
english50MB.txt,5.66993,17.9929,52428.8,29916.8
english50MB.txt,5.66669,17.9734,52428.8,29916.8
english50MB.txt,5.67163,17.991,52428.8,29916.8
english50MB.txt,5.68405,17.9895,52428.8,29916.8
english50MB.txt,5.68228,17.9841,52428.8,29916.8
english50MB.txt,5.66796,17.997,52428.8,29916.8
english50MB.txt,5.67657,17.9985,52428.8,29916.8
english50MB.txt,5.7143,18.0877,52428.8,29916.8
english50MB.txt,5.68374,17.9879,52428.8,29916.8
english50MB.txt,5.66038,17.98,52428.8,29916.8
english50MB.txt,5.67902,18.0093,52428.8,29916.8
english50MB.txt,5.71911,18.0848,52428.8,29916.8
english50MB.txt,5.67613,18.0008,52428.8,29916.8
english50MB.txt,5.69697,18.0801,52428.8,29916.8
english50MB.txt,5.67111,18.1249,52428.8,29916.8
english50MB.txt,5.68493,17.9945,52428.8,29916.8
english50MB.txt,5.66817,17.9951,52428.8,29916.8
