Archivo,Tiempo_Codificacion,Tiempo_Decodificacion,Peso_Original,Peso_Codificado
proteins1MB.txt,0.11604,0.342349,1048.58,555.155
proteins1MB.txt,0.116291,0.341078,1048.58,555.155
proteins1MB.txt,0.116423,0.342186,1048.58,555.155
proteins1MB.txt,0.117808,0.343288,1048.58,555.155
proteins1MB.txt,0.116636,0.343257,1048.58,555.155
proteins1MB.txt,0.116172,0.341381,1048.58,555.155
proteins1MB.txt,0.116604,0.343041,1048.58,555.155
proteins1MB.txt,0.116599,0.342718,1048.58,555.155
proteins1MB.txt,0.116024,0.374444,1048.58,555.155
proteins1MB.txt,0.116254,0.343349,1048.58,555.155
proteins1MB.txt,0.116512,0.342059,1048.58,555.155
proteins1MB.txt,0.117203,0.339591,1048.58,555.155
proteins1MB.txt,0.11869,0.365806,1048.58,555.155
proteins1MB.txt,0.115847,0.343491,1048.58,555.155
proteins1MB.txt,0.116615,0.344393,1048.58,555.155
proteins1MB.txt,0.115989,0.355042,1048.58,555.155
proteins1MB.txt,0.116461,0.34593,1048.58,555.155
proteins1MB.txt,0.116386,0.343798,1048.58,555.155
proteins1MB.txt,0.116461,0.342503,1048.58,555.155
proteins1MB.txt,0.116711,0.341913,1048.58,555.155
proteins5MB.txt,0.566181,1.88933,5242.88,2781.88
proteins5MB.txt,0.564005,1.87158,5242.88,2781.88
proteins5MB.txt,0.565318,1.87036,5242.88,2781.88
proteins5MB.txt,0.565786,1.87258,5242.88,2781.88
proteins5MB.txt,0.563893,1.87416,5242.88,2781.88
proteins5MB.txt,0.566275,1.88097,5242.88,2781.88
proteins5MB.txt,0.567112,1.89642,5242.88,2781.88
proteins5MB.txt,0.569141,1.89658,5242.88,2781.88
proteins5MB.txt,0.571468,1.90268,5242.88,2781.88
proteins5MB.txt,0.587945,1.95443,5242.88,2781.88
proteins5MB.txt,0.58419,1.93666,5242.88,2781.88
proteins5MB.txt,0.578674,1.90873,5242.88,2781.88
proteins5MB.txt,0.570837,1.88937,5242.88,2781.88
proteins5MB.txt,0.572071,1.89989,5242.88,2781.88
proteins5MB.txt,0.564741,1.86646,5242.88,2781.88
proteins5MB.txt,0.564685,1.87407,5242.88,2781.88
proteins5MB.txt,0.568569,1.88195,5242.88,2781.88
proteins5MB.txt,0.564789,1.88075,5242.88,2781.88
proteins5MB.txt,0.565091,1.87184,5242.88,2781.88
proteins5MB.txt,0.564898,1.87274,5242.88,2781.88
proteins10MB.txt,1.12737,3.57402,10485.8,5550.08
proteins10MB.txt,1.13242,3.60528,10485.8,5550.08
proteins10MB.txt,1.13433,3.59437,10485.8,5550.08
proteins10MB.txt,1.1321,3.5794,10485.8,5550.08
proteins10MB.txt,1.14577,3.6316,10485.8,5550.08
proteins10MB.txt,1.1267,3.57088,10485.8,5550.08
proteins10MB.txt,1.1375,3.58739,10485.8,5550.08
proteins10MB.txt,1.13714,3.60886,10485.8,5550.08
proteins10MB.txt,1.12887,3.56922,10485.8,5550.08
proteins10MB.txt,1.13637,3.59875,10485.8,5550.08
proteins10MB.txt,1.13059,3.5942,10485.8,5550.08
proteins10MB.txt,1.12831,3.57983,10485.8,5550.08
proteins10MB.txt,1.14131,3.60965,10485.8,5550.08
proteins10MB.txt,1.1319,3.60868,10485.8,5550.08
proteins10MB.txt,1.12536,3.59385,10485.8,5550.08
proteins10MB.txt,1.13679,3.60166,10485.8,5550.08
proteins10MB.txt,1.12923,3.58794,10485.8,5550.08
proteins10MB.txt,1.13074,3.58077,10485.8,5550.08
proteins10MB.txt,1.12781,3.5931,10485.8,5550.08
proteins10MB.txt,1.13096,3.56854,10485.8,5550.08
proteins20MB.txt,2.25916,7.18588,20971.5,11111.6
proteins20MB.txt,2.26227,7.155,20971.5,11111.6
proteins20MB.txt,2.26593,7.20895,20971.5,11111.6
proteins20MB.txt,2.25879,7.19817,20971.5,11111.6
proteins20MB.txt,2.25852,7.14489,20971.5,11111.6
proteins20MB.txt,2.26816,7.20639,20971.5,11111.6
proteins20MB.txt,2.25706,7.17781,20971.5,11111.6
proteins20MB.txt,2.26501,7.19016,20971.5,11111.6
proteins20MB.txt,2.27067,7.19446,20971.5,11111.6
proteins20MB.txt,2.25829,7.15331,20971.5,11111.6
proteins20MB.txt,2.27079,7.24322,20971.5,11111.6
proteins20MB.txt,2.25624,7.19166,20971.5,11111.6
proteins20MB.txt,2.25876,7.1688,20971.5,11111.6
proteins20MB.txt,2.26081,7.16971,20971.5,11111.6
proteins20MB.txt,2.26688,7.16418,20971.5,11111.6
proteins20MB.txt,2.27734,7.23705,20971.5,11111.6
proteins20MB.txt,2.26064,7.20259,20971.5,11111.6
proteins20MB.txt,2.31023,7.40089,20971.5,11111.6
proteins20MB.txt,2.26105,7.14722,20971.5,11111.6
proteins20MB.txt,2.25673,7.21029,20971.5,11111.6
proteins50MB.txt,5.65969,17.7137,52428.8,27714.4
proteins50MB.txt,5.62111,17.6369,52428.8,27714.4
proteins50MB.txt,5.67617,17.8789,52428.8,27714.4
proteins50MB.txt,5.69829,17.732,52428.8,27714.4
proteins50MB.txt,5.6245,17.6543,52428.8,27714.4
proteins50MB.txt,5.61865,17.7194,52428.8,27714.4
proteins50MB.txt,5.65423,17.7351,52428.8,27714.4
proteins50MB.txt,5.67207,17.7761,52428.8,27714.4
proteins50MB.txt,5.68249,17.6071,52428.8,27714.4
proteins50MB.txt,5.62131,17.6922,52428.8,27714.4
proteins50MB.txt,5.66115,17.8027,52428.8,27714.4
proteins50MB.txt,5.62804,17.7585,52428.8,27714.4
proteins50MB.txt,5.63312,17.7569,52428.8,27714.4
proteins50MB.txt,5.62501,17.7989,52428.8,27714.4
proteins50MB.txt,5.7352,18.0151,52428.8,27714.4
proteins50MB.txt,5.77897,17.8993,52428.8,27714.4
proteins50MB.txt,5.64398,17.6979,52428.8,27714.4
proteins50MB.txt,5.62151,17.6115,52428.8,27714.4
proteins50MB.txt,5.62479,17.6316,52428.8,27714.4
proteins50MB.txt,5.7687,17.8668,52428.8,27714.4
