Archivo,Tiempo_Compresion,Tiempo_Descompresion,Peso_Original,Peso_Comprimido
dna1MB.txt,0.237108,0.0119854,1048.58,1094.9
dna1MB.txt,0.232847,0.0122723,1048.58,1094.9
dna1MB.txt,0.271128,0.0121461,1048.58,1094.9
dna1MB.txt,0.242631,0.0118886,1048.58,1094.9
dna1MB.txt,0.23583,0.0118067,1048.58,1094.9
dna1MB.txt,0.224969,0.0118338,1048.58,1094.9
dna1MB.txt,0.243593,0.0121815,1048.58,1094.9
dna1MB.txt,0.232758,0.0130477,1048.58,1094.9
dna1MB.txt,0.23539,0.0123118,1048.58,1094.9
dna1MB.txt,0.230818,0.0123143,1048.58,1094.9
dna1MB.txt,0.236288,0.012176,1048.58,1094.9
dna1MB.txt,0.233862,0.0122483,1048.58,1094.9
dna1MB.txt,0.234248,0.0121426,1048.58,1094.9
dna1MB.txt,0.223381,0.0119834,1048.58,1094.9
dna1MB.txt,0.226668,0.0124015,1048.58,1094.9
dna1MB.txt,0.232219,0.0129425,1048.58,1094.9
dna1MB.txt,0.232842,0.0123641,1048.58,1094.9
dna1MB.txt,0.225509,0.0123378,1048.58,1094.9
dna1MB.txt,0.226154,0.0123769,1048.58,1094.9
dna1MB.txt,0.235367,0.0123659,1048.58,1094.9
dna5MB.txt,1.48611,0.0591858,5242.88,4707.85
dna5MB.txt,1.47722,0.0588069,5242.88,4707.85
dna5MB.txt,1.48861,0.0589419,5242.88,4707.85
dna5MB.txt,1.48346,0.0591021,5242.88,4707.85
dna5MB.txt,1.49067,0.0594924,5242.88,4707.85
dna5MB.txt,1.47356,0.0593552,5242.88,4707.85
dna5MB.txt,1.47803,0.0595048,5242.88,4707.85
dna5MB.txt,1.48571,0.060004,5242.88,4707.85
dna5MB.txt,1.53024,0.059129,5242.88,4707.85
dna5MB.txt,1.48469,0.059433,5242.88,4707.85
dna5MB.txt,1.53394,0.0593803,5242.88,4707.85
dna5MB.txt,1.52187,0.0590957,5242.88,4707.85
dna5MB.txt,1.47709,0.0588728,5242.88,4707.85
