Archivo,Tiempo_Compresion,Tiempo_Descompresion,Peso_Original,Peso_Comprimido
english1MB.txt,0.804473,0.0146282,1048.72,1556.68
english1MB.txt,0.798953,0.0150212,1048.72,1556.68
english1MB.txt,0.818967,0.0148974,1048.72,1556.68
english1MB.txt,0.80745,0.0157015,1048.72,1556.68
english1MB.txt,0.921302,0.0152168,1048.72,1556.68
english1MB.txt,0.900574,0.0151379,1048.72,1556.68
english1MB.txt,0.894059,0.0159711,1048.72,1556.68
english1MB.txt,0.901774,0.0153347,1048.72,1556.68
english1MB.txt,0.912335,0.0152081,1048.72,1556.68
english1MB.txt,0.853941,0.0149538,1048.72,1556.68
english1MB.txt,0.799832,0.0146038,1048.72,1556.68
english1MB.txt,0.792323,0.015085,1048.72,1556.68
english1MB.txt,0.814871,0.0146044,1048.72,1556.68
english1MB.txt,0.800633,0.0150123,1048.72,1556.68
english1MB.txt,0.798257,0.0151453,1048.72,1556.68
english1MB.txt,0.819169,0.014936,1048.72,1556.68
english1MB.txt,0.81134,0.0149078,1048.72,1556.68
english1MB.txt,0.813482,0.0145828,1048.72,1556.68
english1MB.txt,0.818057,0.0149126,1048.72,1556.68
english1MB.txt,0.796847,0.0146564,1048.72,1556.68
english5MB.txt,5.74118,0.0707461,5242.88,6747.52
english5MB.txt,5.51283,0.0709315,5242.88,6747.52
english5MB.txt,5.51424,0.0707368,5242.88,6747.52
english5MB.txt,5.71878,0.0718602,5242.88,6747.52
english5MB.txt,5.51797,0.0710175,5242.88,6747.52
english5MB.txt,5.67543,0.0710182,5242.88,6747.52
english5MB.txt,5.51919,0.073044,5242.88,6747.52
english5MB.txt,5.61824,0.0714068,5242.88,6747.52
english5MB.txt,5.5556,0.0708998,5242.88,6747.52
english5MB.txt,5.57514,0.0709066,5242.88,6747.52
english5MB.txt,6.01695,0.0746826,5242.88,6747.52
english5MB.txt,5.47775,0.0707882,5242.88,6747.52
english5MB.txt,5.71685,0.0709205,5242.88,6747.52
english5MB.txt,5.52436,0.0712182,5242.88,6747.52
english5MB.txt,5.60399,0.0709863,5242.88,6747.52
english5MB.txt,5.74167,0.0758278,5242.88,6747.52
english5MB.txt,5.53789,0.0708044,5242.88,6747.52
english5MB.txt,5.52673,0.0709304,5242.88,6747.52
english5MB.txt,5.69753,0.0711007,5242.88,6747.52
english5MB.txt,5.71987,0.0706765,5242.88,6747.52
english10MB.txt,10.8787,0.139904,10485.8,12263
english10MB.txt,10.9137,0.139091,10485.8,12263
english10MB.txt,10.9028,0.138384,10485.8,12263
english10MB.txt,10.9709,0.148062,10485.8,12263
english10MB.txt,10.8742,0.138798,10485.8,12263
english10MB.txt,10.9036,0.139782,10485.8,12263
english10MB.txt,11.4319,0.138571,10485.8,12263
english10MB.txt,10.8809,0.139217,10485.8,12263
english10MB.txt,10.8989,0.139324,10485.8,12263
english10MB.txt,10.8945,0.139169,10485.8,12263
english10MB.txt,10.8829,0.14874,10485.8,12263
english10MB.txt,11.3315,0.139298,10485.8,12263
english10MB.txt,10.8726,0.138663,10485.8,12263
english10MB.txt,10.8519,0.139388,10485.8,12263
english10MB.txt,11.3918,0.14903,10485.8,12263
english10MB.txt,11.3526,0.139702,10485.8,12263
english10MB.txt,10.9114,0.138294,10485.8,12263
english10MB.txt,11.0194,0.139916,10485.8,12263
english10MB.txt,10.9427,0.140377,10485.8,12263
english10MB.txt,10.9558,0.139212,10485.8,12263
english20MB.txt,26.2777,0.280621,20971.5,22667.8
english20MB.txt,27.4244,0.298932,20971.5,22667.8
english20MB.txt,26.7614,0.281308,20971.5,22667.8
english20MB.txt,26.1336,0.283554,20971.5,22667.8
english20MB.txt,26.0637,0.296196,20971.5,22667.8
english20MB.txt,26.2709,0.298196,20971.5,22667.8
english20MB.txt,27.4341,0.281607,20971.5,22667.8
english20MB.txt,26.1887,0.298214,20971.5,22667.8
english20MB.txt,26.0503,0.281924,20971.5,22667.8
english20MB.txt,27.4555,0.283862,20971.5,22667.8
english20MB.txt,27.705,0.297858,20971.5,22667.8
english20MB.txt,27.7054,0.283608,20971.5,22667.8
english20MB.txt,27.0805,0.296632,20971.5,22667.8
english20MB.txt,26.1238,0.281815,20971.5,22667.8
english20MB.txt,27.4709,0.281235,20971.5,22667.8
english20MB.txt,26.0563,0.297751,20971.5,22667.8
english20MB.txt,26.0546,0.283619,20971.5,22667.8
english20MB.txt,26.2271,0.297654,20971.5,22667.8
english20MB.txt,26.1888,0.297113,20971.5,22667.8
english20MB.txt,26.1383,0.299575,20971.5,22667.8
english50MB.txt,90.7025,0.77554,52428.8,52753.3
english50MB.txt,87.0317,0.774214,52428.8,52753.3
english50MB.txt,86.7047,0.775436,52428.8,52753.3
english50MB.txt,90.1247,0.796061,52428.8,52753.3
english50MB.txt,91.5666,0.78643,52428.8,52753.3
english50MB.txt,86.8086,0.775285,52428.8,52753.3
english50MB.txt,86.1757,0.772381,52428.8,52753.3
english50MB.txt,88.9403,0.793714,52428.8,52753.3
english50MB.txt,92.6173,0.778342,52428.8,52753.3
english50MB.txt,92.4284,0.780698,52428.8,52753.3
english50MB.txt,88.6207,0.785734,52428.8,52753.3
english50MB.txt,91.6918,0.778804,52428.8,52753.3
english50MB.txt,86.4169,0.767588,52428.8,52753.3
english50MB.txt,86.5857,0.784337,52428.8,52753.3
english50MB.txt,91.6856,0.774827,52428.8,52753.3
english50MB.txt,86.6939,0.774103,52428.8,52753.3
